"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"7.0_AdamW_wd0.0001_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:36:54.000Z","1370","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6040581597222222","6.437034549840683","69","47","1.5898029804229736","3359","48","0.6040581597222222","1.5944916009902954","3000","0.6678688526153564"
"7.0_AdamWBC_wd0.01_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:31:52.000Z","1276","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6030815972222222","6.437034549840683","69","47","1.643671989440918","3359","48","0.6030815972222222","1.526450898912218","3000","0.6667608618736267"
"7.0_AdamWBC_wd0.0001_lr0.0005_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T20:13:07.000Z","1369","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0005_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0005","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6026475694444444","6.437034549840683","69","47","1.6389604806900024","3359","48","0.6026475694444444","1.6105255153444078","3000","0.6667357087135315"
"7.0_AdamWBC_wd0.0001_lr0.0003_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:37:51.000Z","1373","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0003_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6012369791666666","6.437034549840683","69","47","1.5274213552474976","3359","48","0.6012369791666666","1.5340148607889812","3000","0.6662942171096802"
"7.0_AdamW_wd0.0001_lr0.0002_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:12:01.000Z","1370","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0002_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.0001","false","0.5980902777777778","6.859549880908613","69","47","1.5363736152648926","3359","48","0.5980902777777778","1.5310391320122614","3359","0.6670440435409546"
"7.0_AdamWBC_wd0.01_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T17:47:18.000Z","1287","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.5959201388888888","6.437034549840683","69","47","1.6810243129730225","3359","48","0.5959201388888888","1.4982135030958388","3000","0.6674929261207581"
"7.0_AdamW_wd0.001_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:09:41.000Z","1284","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.001_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.5954861111111112","6.437034549840683","69","47","1.4453325271606443","3359","48","0.5954861111111112","1.500297612614102","3000","0.666445255279541"
"7.0_AdamW_wd0.01_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:09:41.000Z","1273","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.5935329861111112","6.437034549840683","69","47","1.5814179182052612","3359","48","0.5935329861111112","1.493040468957689","3000","0.6666702628135681"
"7.0_AdamWBC_wd0.001_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T17:47:18.000Z","1286","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.001","false","0.5922309027777778","6.437034549840683","69","47","1.5988097190856934","3359","48","0.5922309027777778","1.5166839096281264","3000","0.6666216254234314"
"7.0_AdamWBC_wd0.0001_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T17:50:22.000Z","1367","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.5921223958333334","6.437034549840683","69","47","1.4461047649383545","3359","48","0.5921223958333334","1.5141849252912734","3000","0.666252076625824"
"7.0_AdamW_wd0.0001_lr0.0002_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T18:14:08.000Z","1364","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0002_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.5916883680555556","6.437034549840683","69","47","1.4277560710906982","3359","48","0.5916883680555556","1.522489256329007","3000","0.6662608981132507"
"7.0_AdamWBC_wd0.001_lr0.0002_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T21:29:46.000Z","1281","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0002_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.001","false","0.5869140625","6.437034549840683","69","47","1.368211269378662","3359","48","0.5869140625","1.5372381740146213","3000","0.667141854763031"
"7.0_AdamWBC_wd0.0001_lr0.0002_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T21:48:13.000Z","1369","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0002_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.0001","false","0.5868055555555556","6.437034549840683","69","47","1.4798388481140137","3359","48","0.5868055555555556","1.5384998321533203","3000","0.6671727895736694"
"7.0_AdamW_wd0.01_lr0.0002_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T21:52:04.000Z","1278","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0002_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0002","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.01","false","0.5845269097222222","6.437034549840683","69","47","1.6232988834381104","3359","48","0.5845269097222222","1.560325569576687","3000","0.6670488119125366"
