"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","perc_corr1","perc_corr2","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"1.0_AdamW_wd1e-05_lr0.002_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:31:45.000Z","912","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.002_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.00001","false","0.5248480902777778","0.9770437718268348","69","47","1.7840604782104492","","","3359","48","0.5248480902777778","1.588858471976386","3359","2.905322551727295"
"1.0_AdamW_wd0.001_lr0.002_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:59:09.000Z","908","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.002_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.001","false","0.5241970486111112","0.9770437718268348","69","47","1.7747151851654053","","","3359","48","0.5241970486111112","1.5965914461347792","3359","2.905365228652954"
"1.0_AdamW_wd0.01_lr0.002_c1.0_e5e-08_trial4","finished","-","","","2025-04-30T17:34:32.000Z","917","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.002_c1.0_e5e-08_trial4","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1027","false","1","0","DPAdamW","0.01","false","0.5239800347222222","0.9770437718268348","69","47","1.689684271812439","","","3359","48","0.5239800347222222","1.6468888256284926","3359","2.911161184310913"
"1.0_AdamW_wd0.001_lr0.002_c1.0_e1e-08_trial2","finished","-","","","2025-04-30T12:22:46.000Z","912","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.002_c1.0_e1e-08_trial2","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","1","0","DPAdamW","0.001","false","0.5238715277777778","0.9770437718268348","69","47","1.610567331314087","","","3359","48","0.5238715277777778","1.6547542148166232","3359","2.9134950637817383"
"1.0_AdamW_wd0.001_lr0.002_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:35:14.000Z","903","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.002_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.001","false","0.5236545138888888","0.9770437718268348","69","47","1.5986475944519043","","","3359","48","0.5236545138888888","1.5867022143469915","3359","2.9054698944091797"
"1.0_AdamW_wd0.0001_lr0.002_c1.0_e5e-08_trial4","finished","-","","","2025-04-30T17:10:13.000Z","906","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.002_c1.0_e5e-08_trial4","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1027","false","1","0","DPAdamW","0.0001","false","0.5236545138888888","0.9770437718268348","69","47","1.7491304874420166","","","3359","48","0.5236545138888888","1.6795790592829387","3359","2.9112300872802734"
"1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial2","finished","-","","","2025-04-30T12:01:59.000Z","921","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial2","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","1","0","DPAdamW","0.0001","false","0.5232204861111112","0.9770437718268348","69","47","1.6893821954727173","","","3359","48","0.5232204861111112","1.5766144196192424","3359","2.913572311401367"
"1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial4","finished","-","","","2025-04-30T16:52:20.000Z","905","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial4","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1027","false","1","0","DPAdamW","0.00001","false","0.5226779513888888","0.9770437718268348","69","47","1.646883249282837","","","3359","48","0.5226779513888888","1.5942405859629314","3359","2.911128282546997"
"1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial2","finished","-","","","2025-04-30T12:06:38.000Z","914","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial2","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","1","0","DPAdamW","0.001","false","0.5224609375","0.9770437718268348","69","47","1.6391215324401855","","","3359","48","0.5224609375","1.5815041992399428","3359","2.9136011600494385"
"1.0_AdamW_wd0.01_lr0.002_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:57:35.000Z","918","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.002_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.01","false","0.5221354166666666","0.9770437718268348","69","47","1.5966148376464844","","","3359","48","0.5221354166666666","1.5801578760147097","3359","2.9053995609283447"
